"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Jim_Jordan: Joe Biden’s Treasury Secretary is blaming inflation on YOU because YOU spent too much of YOUR own money. 

That’s insane.…",FALSE,0,NA,2022-12-02 02:32:32,FALSE,NA,"1598505364294897664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnifaCazimoski",1178,TRUE,FALSE,NA,NA
"2","RT @dellavolpe: Newt Gingrich on Joe Biden.

""Republicans must learn to quit underestimating @POTUS.""

""Conservatives’ hostility to Biden a…",FALSE,0,NA,2022-12-02 02:32:32,FALSE,NA,"1598505364126945280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bpridgon",5819,TRUE,FALSE,NA,NA
"3","RT @craigbakerptco1: Damn Joe Biden. https://t.co/P5zxEQahfI",FALSE,0,NA,2022-12-02 02:32:31,FALSE,NA,"1598505362822340608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bbvv92181575",2,TRUE,FALSE,NA,NA
"4","RT @Jim_Jordan: Joe Biden’s Treasury Secretary is blaming inflation on YOU because YOU spent too much of YOUR own money. 

That’s insane.…",FALSE,0,NA,2022-12-02 02:32:31,FALSE,NA,"1598505361337511936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kcpfeifer",1178,TRUE,FALSE,NA,NA
"5","RT @REVMAXXING: Joe Biden and Congress have infinite money for Ukraine 🇺🇦, but can't give railroad workers basic demands https://t.co/oyeeh…",FALSE,0,NA,2022-12-02 02:32:31,FALSE,NA,"1598505360964337664",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HumbertoJorgeL2",41,TRUE,FALSE,NA,NA
"6","RT @DashDobrofsky: Newt Gingrich said “Republicans must learn to quit underestimating Joe Biden.” Though Newt was wrong to make his cancer-…",FALSE,0,NA,2022-12-02 02:32:29,FALSE,NA,"1598505351984340993",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cvgo99",9,TRUE,FALSE,NA,NA
"7","RT @BushDoc44: Staggering level of multi-layered LIES from the old gold-toothed rat, Joe Biden, right throughout his FIFTY YEARS in US Cong…",FALSE,0,NA,2022-12-02 02:32:29,FALSE,NA,"1598505351326072832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","dhhxbriidhs",2,TRUE,FALSE,NA,NA
"8","@PatricProAuthor Joe Biden ""won"".",FALSE,0,"PatricProAuthor",2022-12-02 02:32:28,FALSE,"1597255845343297536","1598505348268113920","1081666205973442562","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IPNInvestigator",0,FALSE,FALSE,NA,NA
"9","RT @DashDobrofsky: Newt Gingrich said “Republicans must learn to quit underestimating Joe Biden.” Though Newt was wrong to make his cancer-…",FALSE,0,NA,2022-12-02 02:32:28,FALSE,NA,"1598505348100689920",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","llabuda",9,TRUE,FALSE,NA,NA
"10","RT @_TimSwain_: Remember that time that 5 states shut down vote counting until the middle of the night, totally coincidentally, and then Jo…",FALSE,0,NA,2022-12-02 02:32:28,FALSE,NA,"1598505347760951296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Buddyn61",266,TRUE,FALSE,NA,NA
