"","text"
"1"," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"2"," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"3"," damn joe biden "
"4"," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"5"," joe biden and congress have infinite money for ukraine  but cant give railroad workers basic demands "
"6"," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"7"," staggering level of multilayered lies from the old goldtoothed rat joe biden right throughout his fifty years in us cong"
"8"," joe biden won"
"9"," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"10"," remember that time that  states shut down vote counting until the middle of the night totally coincidentally and then jo"
"11"," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"12"," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"13"," the war in ukraine was utterly unnecessary it was caused because joe biden decided to waive sanctions that i wrote to allo"
"14"," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"15"," should joe biden take a cognitive test "
"16"," president joe biden and dr jill biden are hosting their first state dinner tonight since moving into the white house in"
"17"," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"18"," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"19"," karine jeanpierre fact check  joe biden has not been to the southern border he opened since he has been president"
"20","  i was wrong actually i posted about joe bkden account not president biden account my b "
"21"," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"22","presidents joe biden and emmanuel macron vowed to maintain a united front against russia on thursday amid growing w "
"23"," truth that is gonna frustrate some rural folks joe biden is keeping your hospitals open not texas conservatives for whom"
"24"," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"25"," why cant democrats admit that joe biden caused the border crisis"
"26","  no its because joe biden said two words made in america"
"27"," actions speak louder than words  no matter how kjp tries to spin it joe bidens actions show us that he is proillegal i"
"28"," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"29","  and yet joe biden will imply a black interviewer uses cocaine and tells students at an "
"30"," president trump worked for free joe biden is working for china"
"31"," joe biden remembers where it all started "
"32"," i just know joe bidens bones make the most flavorful of broths"
"33","joe bidens st state dinner photos of first lady jill jennifer garner chrissy teigen and extrastars "
